Time,Velocity,Acceleration,Apogee,Predicted DP
5.300000000000000266e-01,7.538344950691001145e+01,1.516119947139441706e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.324999999999999734e-01,7.576257858001234524e+01,1.516875799628012373e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.349999999999999201e-01,7.614189663105398154e+01,1.517631550756625813e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.374999999999998668e-01,7.652140363462152095e+01,1.518387199419613864e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.400000000000000355e-01,7.690109956502431032e+01,1.519142744502657081e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.424999999999999822e-01,7.728098731380674735e+01,1.519921526060811061e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.449999999999999289e-01,7.766106977361786790e+01,1.520700210152418208e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.474999999999998757e-01,7.804134692001356655e+01,1.521478795622912230e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,7.842181872826002120e+01,1.522257281306860079e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.524999999999999911e-01,7.880248772815832581e+01,1.523056105581737256e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.549999999999999378e-01,7.918335645044055582e+01,1.523854835111201282e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.574999999999998845e-01,7.956442487133855934e+01,1.524653468690085276e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.600000000000000533e-01,7.994569296678182013e+01,1.525452005102668807e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.625000000000000000e-01,8.032715560646019526e+01,1.526209593975222276e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.649999999999999467e-01,8.070880765751003594e+01,1.526967069657884508e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.674999999999998934e-01,8.109064909154866996e+01,1.527724430927570154e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.699999999999999512e-01,8.147267987988671223e+01,1.528481676551959367e+02,0.000000000000000000e+00,0.000000000000000000e+00
